"adm3","n_household","population","male","female","adm2"
"板橋區",218481,556475,270434,286041,"新北市"
"三重區",154901,384124,188344,195780,"新北市"
"中和區",169188,410032,198154,211878,"新北市"
"永和區",91885,218836,103643,115193,"新北市"
"新莊區",161767,423081,206127,216954,"新北市"
"新店區",130551,302753,145117,157636,"新北市"
"樹林區",67584,182977,91148,91829,"新北市"
"鶯歌區",32041,87739,43937,43802,"新北市"
"三峽區",44651,116755,58345,58410,"新北市"
"淡水區",83735,184106,88014,96092,"新北市"
"汐止區",91523,205883,100167,105716,"新北市"
"瑞芳區",16168,38857,19605,19252,"新北市"
"土城區",89885,238247,117105,121142,"新北市"
"蘆洲區",73693,202507,99077,103430,"新北市"
"五股區",34951,89812,45128,44684,"新北市"
"泰山區",29011,78100,38531,39569,"新北市"
"林口區",49544,122561,59570,62991,"新北市"
"深坑區",9836,23768,11891,11877,"新北市"
"石碇區",3395,7493,4091,3402,"新北市"
"坪林區",2554,6689,3637,3052,"新北市"
"三芝區",9604,22498,11548,10950,"新北市"
"石門區",4231,11367,5908,5459,"新北市"
"八里區",15720,39731,19811,19920,"新北市"
"平溪區",2240,4379,2446,1933,"新北市"
"雙溪區",3705,8370,4548,3822,"新北市"
"貢寮區",4344,11689,5971,5718,"新北市"
"金山區",7213,21016,10322,10694,"新北市"
"萬里區",7548,21554,10776,10778,"新北市"
"烏來區",1909,6331,3108,3223,"新北市"
"松山區",80784,198603,92767,105836,"臺北市"
"信義區",88538,212559,100923,111636,"臺北市"
"大安區",120800,299823,139592,160231,"臺北市"
"中山區",100571,221679,102668,119011,"臺北市"
"中正區",65691,154461,73471,80990,"臺北市"
"大同區",52340,123334,59715,63619,"臺北市"
"萬華區",79192,181044,88532,92512,"臺北市"
"文山區",107724,266439,127265,139174,"臺北市"
"南港區",47955,117777,57388,60389,"臺北市"
"內湖區",110026,280785,133752,147033,"臺北市"
"士林區",107910,275823,132837,142986,"臺北市"
"北投區",98160,248679,119257,129422,"臺北市"
"桃園區",179193,458405,221394,237011,"桃園市"
"中壢區",162367,422635,206989,215646,"桃園市"
"大溪區",34201,95352,48431,46921,"桃園市"
"楊梅區",63311,175795,88178,87617,"桃園市"
"蘆竹區",61509,166800,82514,84286,"桃園市"
"大園區",35847,93857,47749,46108,"桃園市"
"龜山區",66439,165141,81885,83256,"桃園市"
"八德區",76724,209234,104009,105225,"桃園市"
"龍潭區",44337,124366,61958,62408,"桃園市"
"平鎮區",81448,228609,113131,115478,"桃園市"
"新屋區",17378,49250,26168,23082,"桃園市"
"觀音區",25173,69182,35769,33413,"桃園市"
"復興區",3851,12345,6644,5701,"桃園市"
"中區",7955,18049,8930,9119,"臺中市"
"東區",28940,75646,37406,38240,"臺中市"
"南區",50393,126654,60499,66155,"臺中市"
"西區",46383,114318,54138,60180,"臺中市"
"北區",60728,146096,69600,76496,"臺中市"
"西屯區",90378,231700,110918,120782,"臺中市"
"南屯區",67399,176796,84322,92474,"臺中市"
"北屯區",108929,289104,137913,151191,"臺中市"
"豐原區",55258,165745,81645,84100,"臺中市"
"東勢區",17492,48948,25054,23894,"臺中市"
"大甲區",23891,75953,38101,37852,"臺中市"
"清水區",29558,88163,45004,43159,"臺中市"
"沙鹿區",31469,95304,47934,47370,"臺中市"
"梧棲區",19151,59432,29760,29672,"臺中市"
"后里區",16844,54236,27432,26804,"臺中市"
"神岡區",20228,65288,33266,32022,"臺中市"
"潭子區",37616,109225,53817,55408,"臺中市"
"大雅區",30685,95694,47554,48140,"臺中市"
"新社區",7763,23940,12358,11582,"臺中市"
"石岡區",4958,14579,7507,7072,"臺中市"
"外埔區",9971,31824,16224,15600,"臺中市"
"大安區",5637,18753,9907,8846,"臺中市"
"烏日區",26802,76856,38399,38457,"臺中市"
"大肚區",18423,56614,28829,27785,"臺中市"
"龍井區",24387,78159,39262,38897,"臺中市"
"霧峰區",20886,64913,32849,32064,"臺中市"
"太平區",68171,195237,96367,98870,"臺中市"
"大里區",72961,212944,104168,108776,"臺中市"
"和平區",4650,10809,5800,5009,"臺中市"
"新營區",29483,76209,37619,38590,"臺南市"
"鹽水區",10156,24943,12998,11945,"臺南市"
"白河區",10728,27095,14150,12945,"臺南市"
"柳營區",8003,20780,10806,9974,"臺南市"
"後壁區",8786,22628,11723,10905,"臺南市"
